

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   1    1  69.550

 It          oL           L  errX  errY
 65  -431.70964  -430.87938 78.02 77.77
 66  -430.87938  -430.08315 78.06 77.90
 67  -430.08315  -429.30510 78.36 78.33
 68  -429.30510  -428.50729 78.23 77.85
 69  -428.50729  -427.58981 78.35 77.63
 70  -427.58981  -426.77111 78.27 77.73
 71  -426.77111  -425.83692 78.23 77.50
 72  -425.83692  -424.92243 78.15 77.52
 73  -424.92243  -424.05924 78.19 77.55
 74  -424.05924  -423.42147 77.93 77.55
 75  -423.42147  -422.91563 77.93 77.17
 76  -422.91563  -422.39663 77.78 77.10
 77  -422.39663  -421.88546 77.90 77.52
 78  -421.88546  -421.41594 77.95 77.57
 79  -421.41594  -421.01289 78.02 77.75
 80  -421.01289  -420.52665 78.08 77.70
 81  -420.52665  -420.05307 78.03 77.75
 82  -420.05307  -419.51790 77.95 77.80
 83  -419.51790  -418.98076 77.88 77.78
 84  -418.98076  -418.44185 77.90 77.98
 85  -418.44185  -418.07278 77.59 77.47
 86  -418.07278  -417.75878 77.76 77.50
 87  -417.75878  -417.44463 77.95 77.92
 88  -417.44463  -417.10387 78.07 78.12
 89  -417.10387  -416.72627 78.02 78.10
 90  -416.72627  -416.36540 78.01 78.27
 91  -416.36540  -415.97060 78.14 78.50
 92  -415.97060  -415.40987 78.20 78.40
 93  -415.40987  -415.01543 78.19 78.17
 94  -415.01543  -414.63058 78.30 78.22
 95  -414.63058  -414.24904 78.15 77.90
 96  -414.24904  -413.73267 78.35 77.97
 97  -413.73267  -413.37941 78.36 77.87
 98  -413.37941  -413.05692 78.21 77.83
 99  -413.05692  -412.69651 78.22 77.88
100  -412.69651  -412.43309 78.27 77.73
101  -412.43309  -412.25726 78.24 77.70
102  -412.25726  -412.09897 78.26 77.68
103  -412.09897  -411.94248 78.23 77.73
104  -411.94248  -411.77199 78.17 77.67
105  -411.77199  -411.58127 78.26 77.67
106  -411.58127  -411.38152 78.27 77.83
107  -411.38152  -411.18530 78.34 77.68
108  -411.18530  -410.98806 78.31 77.78
109  -410.98806  -410.80632 78.27 77.85
110  -410.80632  -410.62589 78.33 77.97
111  -410.62589  -410.41603 78.32 77.65
112  -410.41603  -410.20141 78.21 77.67
113  -410.20141  -409.93508 78.28 77.70
114  -409.93508  -409.55228 78.27 77.75
115  -409.55228  -409.17321 78.43 78.27
116  -409.17321  -408.83603 78.20 77.77
117  -408.83603  -408.50638 78.30 77.87
118  -408.50638  -408.19785 78.35 77.80
119  -408.19785  -407.92129 78.35 77.78
120  -407.92129  -407.68900 78.28 77.85
121  -407.68900  -407.44743 78.22 77.87
122  -407.44743  -407.26573 78.17 77.83
123  -407.26573  -407.05601 78.10 77.93
124  -407.05601  -406.85595 78.09 77.78
125  -406.85595  -406.69022 78.12 77.85
126  -406.69022  -406.54874 78.10 78.17
127  -406.54874  -406.38244 78.10 78.15
128  -406.38244  -406.21852 78.11 78.23
129  -406.21852  -406.07953 78.05 77.98
130  -406.07953  -405.95948 77.96 77.85
131  -405.95948  -405.82786 77.91 77.93
132  -405.82786  -405.65904 77.85 78.08
133  -405.65904  -405.47117 77.83 78.00
134  -405.47117  -405.27148 77.85 77.88
135  -405.27148  -405.07098 77.90 77.90
136  -405.07098  -404.92284 77.92 77.82
137  -404.92284  -404.82261 78.12 78.23
138  -404.82261  -404.68278 78.04 78.05
139  -404.68278  -404.55286 77.97 78.03
140  -404.55286  -404.41720 77.91 78.15
141  -404.41720  -404.31005 77.81 78.02
142  -404.31005  -404.19791 77.80 78.00
143  -404.19791  -404.08788 77.79 77.97
144  -404.08788  -403.99472 77.64 78.00
145  -403.99472  -403.87301 77.39 77.67
146  -403.87301  -403.75176 77.34 77.47
147  -403.75176  -403.60994 77.51 77.42
148  -403.60994  -403.44280 77.55 77.45
149  -403.44280  -403.28591 77.57 77.53
150  -403.28591  -403.08896 77.64 77.70
151  -403.08896  -402.87965 77.59 77.75
152  -402.87965  -402.64476 77.58 77.85
153  -402.64476  -402.35459 77.56 77.72
154  -402.35459  -402.17327 77.66 77.87
155  -402.17327  -402.07268 77.65 77.95
156  -402.07268  -401.99432 77.67 78.10
157  -401.99432  -401.90546 77.72 78.05
158  -401.90546  -401.82263 77.77 78.15
159  -401.82263  -401.71110 77.83 78.28
160  -401.71110  -401.62062 77.87 78.18
161  -401.62062  -401.55931 77.89 78.13
162  -401.55931  -401.50683 77.90 78.20
163  -401.50683  -401.44373 77.89 78.22
164  -401.44373  -401.38825 77.91 78.15
165  -401.38825  -401.33252 77.93 78.22
166  -401.33252  -401.27312 77.93 78.28
167  -401.27312  -401.21159 77.86 78.20
168  -401.21159  -401.15935 77.56 77.93
169  -401.15935  -401.11291 77.76 78.23
170  -401.11291  -401.06416 77.85 78.27
171  -401.06416  -401.00157 77.92 78.28
172  -401.00157  -400.92456 77.94 78.28
173  -400.92456  -400.81421 77.95 78.32
174  -400.81421  -400.69175 77.96 78.30
175  -400.69175  -400.62042 77.97 78.30
176  -400.62042  -400.54480 77.98 78.22
177  -400.54480  -400.47769 78.01 78.12
178  -400.47769  -400.40959 78.01 78.18
179  -400.40959  -400.33628 78.00 78.20
180  -400.33628  -400.27474 78.01 78.13
181  -400.27474  -400.21546 78.02 78.12
182  -400.21546  -400.16070 77.98 78.17
183  -400.16070  -400.11455 78.11 78.47
184  -400.11455  -400.07385 78.09 78.48
185  -400.07385  -400.04053 78.10 78.47

  alpha   PCA    K   dv-err
  -----   ---   ---  ------
  1.0e-05   1   20  78.467

 It          oL           L  errX  errY
--- ----------- ----------- ----- -----
  1        -Inf  -804.24458 75.10 75.42
  2  -804.24458  -370.58021 74.95 74.95
  3  -370.58021  -308.79721 74.97 75.53
  4  -308.79721  -276.92368 75.18 75.48
  5  -276.92368  -255.42331 75.06 75.83
  6  -255.42331  -239.04194 75.27 75.33
  7  -239.04194  -227.92859 74.88 75.57
  8  -227.92859  -217.47368 74.87 75.75
  9  -217.47368  -208.45292 75.15 76.48
 10  -208.45292  -201.39654 74.93 75.68
 11  -201.39654  -196.18525 75.26 75.75
 12  -196.18525  -192.41616 75.44 75.68
 13  -192.41616  -188.85585 75.10 75.48
 14  -188.85585  -185.26141 75.12 75.52
 15  -185.26141  -182.00619 75.03 75.43
 16  -182.00619  -178.50470 75.29 75.40
 17  -178.50470  -175.53080 75.09 74.55
 18  -175.53080  -172.79416 75.13 75.45
